person_id;loan_id;cb_id;idade;salario_anual;situacao_moradia;anos_trabalhados;motivo_emprestimo;pontuacao_emprestimo;valor_emprestimo;taxa_juros;inadimplencia;comprometimento_renda;historico_inadimplencia;tempo_credito
wC49TYsI-dttj;GjJbL33O-EbBI;XHg1HLkc-IbwA;34,0;72000,0;Hipotecada;10.0;Melhora_Lar;A;4000,0;7.14;0,0;0.06;N;9
r0RkUqvL-GsAf;a4P7Bvaf-BByn;F4SMQiET-HUF7;25,0;97000,0;Hipotecada;9.0;Melhora_Lar;D;25000,0;14.59;0,0;0.26;N;2
KalCkOAM-IoAf;JR6XXxaL-ZDuD;PpX7A7QD-WF3t;30,0;56000,0;Alugada;7.0;Melhora_Lar;C;4800,0;13.92;0,0;0.09;Y;9
SITYwuum-4zTy;q9lNg24r-yaYf;Rr2YFTK4-W7Ma;37,0;117300,0;Hipotecada;12.0;Medico;A;10000,0;0.0;1,0;0.07;N;11
pFM7uGKM-Egih;XEa5Aa7j-WJb9;MxJTlBg6-FblS;41,0;65000,0;Alugada;3.0;Educativo;C;10000,0;0.0;0,0;0.15;N;15
5tYa5mbi-7DZF;RLE12lrF-S20w;ztmfIUDv-CsLW;42,0;33564,0;Alugada;5.0;Pessoal;D;6000,0;16.29;1,0;0.18;N;15
lOWbZyCb-AUWU;xzg2Np7U-k0an;LRuACL8s-chXD;27,0;75000,0;Alugada;3.0;Empreendimento;B;12000,0;11.49;0,0;0.16;N;5
6GmA91UN-eqQ8;IsdSrLLx-Hjdv;nCR9w7jZ-73qZ;25,0;60000,0;Alugada;1.0;Empreendimento;A;8000,0;5.42;0,0;0.13;N;2
tsIjFW3T-MUyb;l3ysMnrx-uPM8;fArusKjy-hLc7;38,0;55000,0;Alugada;0.0;Educativo;C;6500,0;11.03;0,0;0.12;Y;12
q9yffya5-hFDG;EZA6BbvK-fXeC;0GiI0DOC-spq2;21,0;70000,0;Alugada;5.0;Medico;B;9700,0;12.53;0,0;0.14;N;4
wIpK7Gev-GmYY;ISoB48er-MIWu;TSHZjj7P-LRvz;27,0;97000,0;Hipotecada;11.0;Pessoal;B;3600,0;9.25;0,0;0.04;N;7
Jzm3ffD6-Esbc;FGbDZpkx-N2nE;RQ9lkESm-gHti;59,0;175000,0;Alugada;3.0;Pessoal;B;12000,0;10.59;0,0;0.07;N;27
tFQIRnJO-c11f;SEY04CqK-kmio;gBiXhx56-qOCl;25,0;35400,0;Alugada;2.0;Medico;A;2000,0;8.49;0,0;0.06;N;2
mLMXua2D-zKNb;bT6wSUlL-Ev8Z;qcmPZcRB-YsfT;35,0;34200,0;Alugada;3.0;Educativo;A;7200,0;6.99;0,0;0.21;N;6
EI0Y9u5l-72ZZ;Rh7qiSgw-BIUG;01O5ENfr-O7NU;29,0;56964,0;Alugada;12.0;Pagamento_Debitos;A;18000,0;0.0;1,0;0.32;N;8
0YxewUDY-ulIk;ghLeZ5Nv-1lvT;BbwgfTz5-19Lw;26,0;21000,0;Propria;4.0;Educativo;C;8000,0;13.79;0,0;0.38;Y;3
ri1eSQ4e-kN2p;FPjbkzuK-7bx2;tMJ852zG-3HxB;24,0;47250,0;Alugada;5.0;Educativo;B;12600,0;11.83;0,0;0.27;N;2
IpET32XL-lSRl;TcWJ4eBB-mEl3;9kvCxxrU-sSHs;24,0;7800,0;Alugada;1.0;Educativo;B;1000,0;11.36;0,0;0.13;N;4
H4gHoJtN-N10c;zhFY8hpf-ZSPD;kH3LU1Tq-Jgjt;31,0;50402,0;Hipotecada;4.0;Empreendimento;C;3000,0;13.22;0,0;0.06;Y;10
lOekTHxh-g5tz;418qTp29-3sCF;Cf7LQ6dM-rj0c;24,0;33000,0;Alugada;1.0;Medico;F;5000,0;21.36;1,0;0.15;N;2
OpKqB1bj-HAot;tU3bF1AF-wpfX;9cdLiRkS-74tZ;21,0;24000,0;Alugada;2.0;Medico;C;5000,0;12.98;0,0;0.21;N;2
oibzhjzo-OTiY;oGXuH4UA-TCb5;IvJpsoFv-XtSB;21,0;50031,0;Hipotecada;5.0;Pessoal;A;2000,0;5.99;0,0;0.04;N;2
TJhsLyva-4Aar;8Q8U4DtR-s6Pc;Y7gK4CSI-Gxnq;24,0;67000,0;Propria;3.0;Empreendimento;C;13000,0;0.0;0,0;0.19;Y;3
OYlSzNao-AaC1;S1RYT9oj-0GzJ;hvmChwqB-98Uu;26,0;52000,0;Hipotecada;6.0;Pessoal;B;3300,0;10.99;0,0;0.06;N;2
mgUd3xbw-zc7w;wFnB3Ghx-mSav;UhYen1OZ-TekC;37,0;40680,0;Hipotecada;6.0;Pagamento_Debitos;D;8000,0;15.21;1,0;0.2;N;13
91lZJKyJ-x1lE;sF1iL2cL-9sIq;yBG19bqb-NucF;24,0;47000,0;Alugada;3.0;Pessoal;A;6000,0;7.66;0,0;0.13;N;2
j8mB0YyZ-KzEB;0DARPThd-DQm8;STfKjkM9-EhLn;25,0;31000,0;Hipotecada;0.0;Melhora_Lar;A;5200,0;5.42;0,0;0.17;N;4
3u7dhHNh-GLjU;94ajGMdn-hiqc;ZD2CY3tq-Inpb;41,0;41435,0;Alugada;0.0;Medico;E;10000,0;16.45;1,0;0.24;N;17
EekJzLl3-NHqI;qtqdmrWR-cR0X;qr65qYJw-5wk4;24,0;22000,0;Alugada;0.0;Pessoal;C;5550,0;12.41;1,0;0.25;N;3
aCjORDwY-dmGe;ttonXlUz-hxvS;IwwYA2ZR-MBu6;22,0;38400,0;Propria;6.0;Pessoal;C;10000,0;14.72;0,0;0.26;N;3
SAk9mFbQ-vOYx;57FElPXJ-NC5j;ijgcYjYU-LSFt;30,0;62900,0;Hipotecada;2.0;Medico;B;10000,0;0.0;1,0;0.14;N;6
rOGF6Bsy-7LLr;8qWsnsvL-8uqa;rN4MtiBX-JIrM;27,0;84780,0;Hipotecada;5.0;Empreendimento;A;18000,0;7.51;0,0;0.21;N;10
50JLLQoR-QuGM;9dHLbaB7-EBsx;g1QQgZ49-Ppuw;22,0;33000,0;Alugada;2.0;Educativo;D;6000,0;0.0;1,0;0.18;N;4
pyy8Hy9A-sS1b;glumkzb4-tFxg;QCbJrQam-owI2;35,0;70360,0;Alugada;8.0;Educativo;A;10000,0;6.62;0,0;0.14;N;5
bq1jBzhz-FMaj;Nk0HOGx3-lvY9;EwYvu97u-fTLy;22,0;31000,0;Alugada;4.0;Empreendimento;B;3600,0;12.69;0,0;0.12;N;3
7GXvNadn-TCM7;hM8o38cf-Ptk5;7iHIDubT-HNQ1;23,0;105000,0;Hipotecada;5.0;Educativo;E;15000,0;16.82;0,0;0.14;Y;4
0QZYaRLo-fwju;RZSgsRRe-LluF;iYPWAMQT-AF64;22,0;82000,0;Hipotecada;6.0;Pagamento_Debitos;C;6000,0;0.0;0,0;0.07;N;2
F0M6XdRB-4ix1;1oDd2HqO-u324;SKUaYZ5n-lAO7;28,0;50500,0;Alugada;3.0;Melhora_Lar;C;5200,0;12.53;0,0;0.1;N;8
Mk1TLuUz-r7eG;uqMQHt0b-8KUK;R4Jp4U7N-DBNK;28,0;54996,0;Hipotecada;8.0;Educativo;B;16750,0;10.38;1,0;0.3;N;9
ZyKbO7Cs-XPLL;egkZqjtz-cMPu;XJDijqP6-DPHd;21,0;70000,0;Alugada;5.0;Educativo;C;15000,0;0.0;0,0;0.21;Y;3
10x8OcyW-gb5L;GJyD6fM9-aHPq;XeESWx0G-s3Yh;27,0;69000,0;Alugada;11.0;Empreendimento;A;2500,0;7.14;0,0;0.04;N;8
mg7GWjru-FOi1;i2iIoZFf-6C3f;lFTQpRma-Itc3;28,0;35004,0;Propria;7.0;Educativo;B;4000,0;11.49;0,0;0.11;N;10
CiANamjQ-1M0K;qx1XoR1S-H8HZ;tBcEttIY-iEBJ;35,0;70000,0;Propria;6.0;Empreendimento;B;17000,0;9.88;0,0;0.24;N;6
tKuhNEMw-JEmQ;P4l0AOQH-SGvI;Ug7fffoG-R4Ye;27,0;78000,0;Propria;4.0;Medico;B;6000,0;12.18;0,0;0.08;N;5
uYsLkgLc-OwH6;2Wht0eH9-fbh7;piKhYvXC-6Nw7;41,0;55000,0;Alugada;9.0;Pagamento_Debitos;B;12000,0;12.53;0,0;0.22;N;15
jFZa3aym-5u2Q;vaqkqSwY-OYCS;tZhcsNWc-8Igb;26,0;32450,0;Hipotecada;5.0;Melhora_Lar;A;3250,0;6.99;0,0;0.1;N;2
oo8FU2Ki-yJoK;UjsXbi6f-9oRT;MGaJrGPO-QIgx;28,0;47831,0;Alugada;8.0;Pagamento_Debitos;C;16000,0;13.85;1,0;0.33;N;7
szBdiNPd-vIat;iedonniw-Qeoe;udb7sqWc-T5qs;23,0;75000,0;Propria;7.0;Educativo;D;12000,0;12.49;0,0;0.16;N;4
OhJ3J4fc-qiJ4;HUqJJlo1-Gfk4;NORkcfFu-6FXS;23,0;18000,0;Alugada;0.0;Pagamento_Debitos;B;4500,0;12.21;1,0;0.25;N;3
0xrcnaKQ-lt46;l2EU9Cit-mqhb;TGXoNdRX-DkAf;21,0;125000,0;Hipotecada;0.0;Pessoal;A;10000,0;7.51;0,0;0.08;N;2
IMBGp6Qc-RkP6;v4YJgLey-EO1u;Du30qLJU-UecW;22,0;69500,0;Hipotecada;6.0;Medico;C;6000,0;13.48;0,0;0.09;N;3
S1u4s2iO-YlFc;ALkPZmEi-a9yW;yHbFtGZS-Ac8U;22,0;27000,0;Alugada;5.0;Pessoal;B;2925,0;10.71;0,0;0.11;N;4
p6PGLtzY-TfTl;JGekobOu-eda1;4eh9JtiT-i4E3;23,0;98000,0;Hipotecada;7.0;Pagamento_Debitos;C;20000,0;13.57;0,0;0.2;N;4
fsXiXw35-cX5E;ZUbyf9Qs-M18z;DQIZhwNk-unoa;22,0;36850,0;Alugada;3.0;Educativo;B;5200,0;12.42;0,0;0.14;N;4
9oKWOgSl-yf1g;jLdnkI5s-KyjH;BFCeaY2D-Tirc;21,0;24000,0;Alugada;1.0;Educativo;A;1500,0;0.0;0,0;0.06;N;3
jmOlb6zx-KYvf;4FeYJNq3-pBTn;7f8qUHva-x8BO;35,0;79500,0;Hipotecada;5.0;Pessoal;D;9600,0;14.61;0,0;0.12;Y;5
IIDhQU9L-iAud;n4r5UiNO-d4ZA;GQgPEb2S-ityd;29,0;110000,0;Hipotecada;0.0;Educativo;A;8500,0;7.51;0,0;0.08;N;10
ruFQPjYy-3kGh;Z9jTnATA-u55X;2yn672i2-MO6j;31,0;96000,0;Propria;3.0;Empreendimento;B;10000,0;9.99;0,0;0.1;N;5
W5YHMi6K-oWNd;JSyRqZ5m-Cpx7;YF8sdi3w-FjmY;32,0;25200,0;Alugada;0.0;Pessoal;A;5000,0;7.91;0,0;0.2;N;5
oQqhPGlJ-I8dm;hN91LYO6-Zl67;S4inrv52-mopY;29,0;100000,0;Alugada;7.0;Melhora_Lar;B;4000,0;0.0;0,0;0.04;N;7
yEAMWEdw-oEDt;UOC4SKJ9-m8Yv;Df5qha2I-lJyi;39,0;34000,0;Alugada;3.0;Pessoal;A;5000,0;8.49;1,0;0.15;N;15
Z9qaIf3v-SFvz;pBjp7cKY-RZgr;6yYvHAZt-moNZ;24,0;57600,0;Hipotecada;0.0;Melhora_Lar;A;3300,0;5.42;0,0;0.06;N;4
Ck2k6Ex1-gl1u;qJl56mhg-Qws5;pBceleGX-PA9I;23,0;52000,0;Alugada;3.0;Educativo;B;7000,0;10.65;0,0;0.13;N;2
enR6NhaP-yuzt;b6xlWKJe-Q5Xo;K8cLxnqu-l5Oo;27,0;81000,0;Alugada;0.0;Empreendimento;A;6000,0;7.14;0,0;0.07;N;9
de8DYYMg-UDII;Y02IsKhH-m4Ts;zBD1odBl-yij2;23,0;36100,0;Alugada;2.0;Educativo;A;5000,0;7.49;0,0;0.14;N;4
QB0wKjAZ-MPFg;qxn5XPwi-Ili0;X8PlyzpD-7PuC;26,0;48000,0;Alugada;2.0;Pagamento_Debitos;C;6400,0;13.47;0,0;0.13;Y;3
jzpol6xK-82rs;WdeOBPXY-Lxzv;EF4Nc0Fm-8as3;22,0;51000,0;Hipotecada;6.0;Medico;A;6000,0;5.79;0,0;0.12;N;2
yi2Aczfd-KT6r;0TIOq8Pq-7CpZ;Nx1eyJxC-u5b6;22,0;50004,0;Hipotecada;0.0;Pessoal;B;4950,0;0.0;0,0;0.1;N;2
W3yfoyzJ-i77E;rZ4UXP1R-0vtn;3C40Sifg-ALzY;21,0;42000,0;Alugada;5.0;Empreendimento;D;11200,0;16.77;0,0;0.27;N;4
B1SaPqMH-9Fz1;NM0nDpBJ-Ivnr;kowie1T5-4UI1;30,0;55000,0;Hipotecada;1.0;Melhora_Lar;B;6500,0;10.99;0,0;0.12;N;7
kdQGBoUC-W0zd;neyQ8Tcv-4Zaa;Bj4WXWo5-cK7t;34,0;51000,0;Alugada;1.0;Medico;A;6000,0;5.99;0,0;0.12;N;6
G7yx3X1J-YUYa;NrTWYDrq-EHmG;Wi9mpRFK-I7HE;25,0;37000,0;Alugada;1.0;Pagamento_Debitos;F;4200,0;0.0;1,0;0.11;Y;2
qwlL8rrU-75aG;XMT4oLeP-4E39;rbF1bnWn-tQMA;29,0;62000,0;Hipotecada;6.0;Empreendimento;A;12000,0;7.51;0,0;0.19;N;8
jZLYpN5X-IMnn;jUJK4KkH-Dmse;T7WB8IE1-E8R7;25,0;84000,0;Alugada;2.0;Empreendimento;A;6000,0;8.94;0,0;0.07;N;2
Ys5rJiJn-F0lk;kcUzGUwN-RWRk;7cdWHgBj-pEDY;22,0;42500,0;Alugada;0.0;Medico;E;1500,0;17.19;1,0;0.04;Y;4
8PmXI7ia-QAoh;bLOM4QWZ-zpOI;RdUFOJ76-3x23;27,0;102000,0;Alugada;2.0;Melhora_Lar;A;10150,0;0.0;0,0;0.1;N;6
4w3G31Qr-HBbt;m8AXkQdY-qMaB;PICv37hN-gmEP;47,0;86000,0;Alugada;0.0;Melhora_Lar;C;9000,0;12.87;1,0;0.1;N;13
wStEUxl3-L5Jb;oe7xmw20-w1cG;33ncUtxe-NFuS;23,0;36000,0;Alugada;2.0;Medico;D;16750,0;15.28;1,0;0.47;Y;4
mQey9wyQ-zHEz;rtpBQfl0-zcsr;fogIHMvl-4vx4;23,0;90000,0;Alugada;4.0;Pagamento_Debitos;C;13000,0;12.73;0,0;0.14;N;2
1BvRuNj7-hTHu;1c1fWxjw-yEBD;jOSC6FNn-XZIj;29,0;40000,0;Hipotecada;13.0;Empreendimento;A;1400,0;5.99;0,0;0.04;N;9
8NTBNsRH-j0KT;GANu1MTD-Em1o;0aJv3BGg-Gsgh;24,0;78000,0;Hipotecada;0.0;Pagamento_Debitos;D;19500,0;15.31;1,0;0.25;N;4
oUNU9B9U-McNm;nWgDkAs0-hMhY;tS3dnmif-n24h;24,0;61000,0;Alugada;2.0;Melhora_Lar;B;20000,0;12.18;1,0;0.33;N;4
G4UNjSG9-MYnA;5hPREiyx-KPPG;9u9f4m4R-8XB9;28,0;12000,0;Alugada;1.0;Melhora_Lar;D;1000,0;16.32;1,0;0.08;Y;9
SYENb9O3-racr;FyroQoPk-R5zF;MzRqj66w-oO07;24,0;92000,0;Alugada;1.0;Melhora_Lar;E;25000,0;16.77;1,0;0.27;Y;4
Q4mvuzGF-1HYH;9GGUvmyI-4ZpC;yYP09tew-h7Kj;23,0;70000,0;Alugada;2.0;Pessoal;C;4800,0;0.0;0,0;0.07;N;2
DYDPEUcQ-PhL3;wnKi7Ak3-0kBG;KQ3snuO3-IdWs;26,0;25000,0;Hipotecada;10.0;Medico;A;7000,0;6.99;0,0;0.28;N;2
uIxoAGgx-CN3g;nHJWcBpw-s2um;s6gR2ccl-OubW;26,0;35000,0;Alugada;10.0;Medico;B;12875,0;0.0;1,0;0.37;N;2
sjse7doc-oMX7;4SfuJFIu-D0Yo;8gaIOY0K-KKqt;24,0;98400,0;Hipotecada;0.0;Educativo;C;8000,0;12.68;0,0;0.08;N;2
Ci85x6r5-W7st;SdiRIqwz-bl4b;CicwQQcF-Clrk;24,0;85100,0;Alugada;3.0;Educativo;C;15000,0;0.0;0,0;0.18;Y;2
osE6tWKd-h0FS;dfuNmukz-zf11;ZdcEoCYp-DZyn;22,0;40000,0;Alugada;2.0;Educativo;B;10000,0;0.0;0,0;0.25;N;4
lRFRIut4-dXmI;m3YkFFPX-zeeK;7r8GOytN-vArd;26,0;16428,0;Alugada;0.0;Medico;C;2400,0;12.23;0,0;0.15;N;3
7RNTB8kM-f94f;y7AjG48v-ZPjl;ugcWDzJE-GYwM;23,0;30000,0;Alugada;0.0;Educativo;C;5000,0;0.0;0,0;0.17;N;3
vEWriw6w-KZSa;71iSTdod-ExbX;eXn68Cr8-pg9j;25,0;55000,0;Hipotecada;2.0;Pagamento_Debitos;A;8000,0;6.03;0,0;0.15;N;4
zF1bshNZ-FRnj;WvOi7bdP-HhRc;Blu96Hto-kjNz;36,0;32004,0;Alugada;3.0;Empreendimento;B;5000,0;10.62;0,0;0.16;N;15
wC6AKfDv-TTO9;GNObRETp-JKWM;a8SdlcxY-OtNF;23,0;18000,0;Alugada;0.0;Educativo;A;5000,0;8.59;1,0;0.28;N;4
Q7uCKXLv-KIzS;1OJN1gLu-NODk;Q7q9ycyb-xWEE;35,0;20000,0;Alugada;0.0;Educativo;D;8500,0;15.05;1,0;0.42;Y;10
5o200Spk-sus3;GXBK5U5v-De5v;MZSevAAY-Za04;24,0;83100,0;Alugada;5.0;Melhora_Lar;E;5000,0;16.35;0,0;0.06;N;3
x3oR45Uy-UhsU;A1sul6fL-Hrqy;qINadLtE-fSzR;33,0;59000,0;Hipotecada;6.0;Melhora_Lar;B;5500,0;9.91;0,0;0.09;N;9
PeOItWmQ-bSsg;QEHsF7JS-uQ3F;IHHm3lwC-f0p6;22,0;74000,0;Hipotecada;6.0;Educativo;B;9000,0;0.0;0,0;0.12;N;2
F4kxPNWL-j8LK;HNFlbE0t-zi72;SuRLahkb-hSlL;34,0;143150,0;Hipotecada;0.0;Empreendimento;A;12000,0;9.32;0,0;0.08;N;6
1Y8v8Rjp-lU8x;D0NBNhpm-EaEi;CXpQI4IP-Ik4m;30,0;52576,0;Alugada;3.0;Melhora_Lar;A;8400,0;7.49;1,0;0.16;N;6
F0QgxiDc-EaIn;uOrsY06m-x4k2;reLi4kwd-1GNh;28,0;33000,0;Propria;1.0;Melhora_Lar;D;7500,0;15.31;0,0;0.23;Y;6
psYQpSnn-zKDo;QtrXTHZc-9dKi;p1uykZxa-DP35;24,0;115154,0;Alugada;8.0;Melhora_Lar;C;3000,0;14.27;0,0;0.03;N;2
74a1rPJo-N0H2;AA6ZSxSN-CD3A;aqgyp8XZ-PXv3;32,0;107000,0;Alugada;4.0;Medico;C;4000,0;13.98;0,0;0.04;N;7
zQKnCljO-ZDKu;MiOU8xTd-mvHu;jclhMRmp-AYa5;30,0;117005,0;Alugada;1.0;Empreendimento;E;12000,0;18.79;1,0;0.1;Y;8
mBNJzdWk-s6Rn;CYi70i29-et8e;B3ijT2Oa-vZF6;34,0;40000,0;Propria;7.0;Medico;A;4200,0;6.76;0,0;0.1;N;7
FWw9gWb2-NUe2;NmR7cJaQ-c9c9;psiM5NDa-v4zs;26,0;54528,0;Hipotecada;9.0;Melhora_Lar;A;10000,0;8.94;0,0;0.18;N;3
NnKQAWZp-yWKn;3zL26JGx-jKAA;UbREX8Sj-bRoG;48,0;94050,0;Hipotecada;1.0;Pagamento_Debitos;D;23000,0;14.96;1,0;0.24;Y;16
lbkvs9nm-DbD1;kYeThBq8-GXwm;1YDvByed-mMir;32,0;45000,0;Hipotecada;2.0;Pessoal;C;8000,0;14.65;0,0;0.18;N;8
EKLnOGSs-hIWR;oNzURt6u-FEpT;AD4iUJjM-eaSJ;28,0;39000,0;Alugada;6.0;Medico;D;10000,0;14.96;1,0;0.26;N;6
nqTDGJhW-ixeF;XP5vgww0-Iuyb;UuX4mUf4-bY9j;27,0;48000,0;Hipotecada;4.0;Medico;A;5000,0;6.99;0,0;0.1;N;7
AqN2IoxO-4HQn;cJdecMJ3-Ob4H;74byWIo2-Zfwq;22,0;52000,0;Alugada;2.0;Educativo;B;25000,0;11.11;1,0;0.48;N;4
D0O3otQj-qzxu;JUycOhd3-mxJ0;h1Fi38vG-jQNo;25,0;73000,0;Hipotecada;9.0;Pagamento_Debitos;B;9000,0;11.86;0,0;0.12;N;4
E5gI1JeC-f2Nl;stEDHyZG-71WY;HFnZlxs9-Npl0;30,0;42886,0;Alugada;3.0;Pessoal;B;12000,0;10.59;0,0;0.28;N;10
lrpW7G36-PcOf;IRXE81ds-QXiL;BCGt8mwj-SuIj;25,0;77000,0;Hipotecada;8.0;Melhora_Lar;A;9000,0;6.03;0,0;0.12;N;3
Qo9bG7qs-rBqG;0pI7tgKH-quBa;joLj1p0w-YsIR;26,0;45000,0;Alugada;6.0;Medico;A;3575,0;0.0;0,0;0.08;N;2
qzS7X8AO-iNLS;Os5UX5cm-zveK;SXx30qMB-lWOr;29,0;71000,0;Hipotecada;4.0;Melhora_Lar;C;11000,0;13.43;0,0;0.15;Y;6
aTYbg5kv-turX;caPDZBla-7mul;KWvhqaK3-5to5;37,0;54000,0;Hipotecada;21.0;Pagamento_Debitos;D;25000,0;15.57;1,0;0.46;Y;16
OqhyBfbS-qmrN;BddduI86-5em8;lSP64ATA-Zitq;25,0;77000,0;Alugada;9.0;Empreendimento;B;19200,0;0.0;0,0;0.25;N;3
SWgK41Jw-WK6v;KKSg9iRw-NZCw;mgQsNK5o-GhuM;30,0;138000,0;Hipotecada;13.0;Melhora_Lar;B;10000,0;10.99;1,0;0.07;N;10
dvWoelWQ-cc6r;JLKLCis8-MqSH;KLC8Aayg-8ftZ;23,0;48645,0;Alugada;1.0;Empreendimento;B;12000,0;10.25;0,0;0.25;N;4
cXvHZFSH-fWdu;nQtnISC6-GBcf;bx4ckIiM-TSXp;37,0;63000,0;Alugada;0.0;Melhora_Lar;B;4000,0;0.0;0,0;0.06;N;13
5GmnRe3w-SNAp;PuRDPMj1-KOW5;XOaS0oXN-GpsA;23,0;50004,0;Hipotecada;7.0;Pessoal;A;6000,0;0.0;0,0;0.12;N;3
ATqTBr7z-eucL;m2emBYzZ-K0Bg;PNf5Ggz8-pQoD;25,0;56544,0;Alugada;3.0;Educativo;B;23000,0;0.0;1,0;0.41;N;2
n2jJpigE-uONM;3jmfhoAs-afjr;nlzYnt2I-UsC8;49,0;69000,0;Alugada;11.0;Empreendimento;C;10000,0;13.48;0,0;0.14;N;16
WTcZEphw-uKlo;GxW3HsRh-1ooa;UOG429YA-WxeR;29,0;130000,0;Hipotecada;13.0;Pagamento_Debitos;C;6000,0;13.04;0,0;0.05;Y;9
7meKBusR-Hxmw;LiYo0Th5-JEJs;sDP5RdYo-ergT;28,0;30000,0;Alugada;4.0;Pagamento_Debitos;A;12000,0;6.62;1,0;0.4;N;7
S1kTdP05-gTR2;Q4L3vglR-w9ev;c5mbkv4o-si92;28,0;54000,0;Alugada;5.0;Pagamento_Debitos;B;12700,0;11.71;1,0;0.24;N;7
dlaoaf5M-6FGb;hHZwZCWH-2wFz;4v52wf4p-YxKe;36,0;51000,0;Hipotecada;4.0;Educativo;B;4775,0;11.14;0,0;0.09;N;11
h77ktrLh-lluC;cGLHLSq0-eXqa;gYpJbjyu-WZkO;22,0;30000,0;Alugada;7.0;Educativo;C;6000,0;14.27;1,0;0.2;N;3
iTYOyk7N-n5mf;r3opiTH7-fqCF;GGXXp7gO-9AoP;24,0;44400,0;Alugada;4.0;Educativo;F;15650,0;21.74;1,0;0.35;N;4
MmzNrerQ-ou6R;Os5Xu9nf-RhGy;5FHqtKEY-kDD5;23,0;80000,0;Alugada;2.0;Empreendimento;B;7800,0;9.99;0,0;0.1;N;2
ntYyRmTG-qDlW;scTOSLIs-zwoj;63OqtWe3-GfGp;24,0;30000,0;Hipotecada;0.0;Pagamento_Debitos;C;6000,0;13.57;0,0;0.2;N;2
UtoaC0MF-oNve;gsQ8pmT3-NdYF;S7bTia1N-jrwa;25,0;32000,0;Hipotecada;4.0;Pagamento_Debitos;B;8000,0;10.36;1,0;0.25;N;2
6gF0Q48W-9LLa;zyZrOPNL-QU2N;uKSMh7Jr-arGN;36,0;145000,0;Alugada;0.0;Medico;B;25000,0;0.0;0,0;0.17;N;15
c39f6Pbi-H4Xi;FhjynceW-btuH;6jQUTSMj-xUYZ;32,0;72000,0;Alugada;5.0;Empreendimento;B;12000,0;10.62;0,0;0.17;N;5
qrF9bHgH-Tsay;OimcX9UI-KYn8;p2ekzmLK-mHZw;32,0;36500,0;Alugada;2.0;Melhora_Lar;A;5000,0;6.91;1,0;0.14;N;5
Cf79zq8E-e9yj;tYDNRc4W-5LgM;GjoomQeq-pQGW;25,0;47000,0;Alugada;8.0;Pagamento_Debitos;B;8500,0;10.37;0,0;0.18;N;4
wMaPDqtY-cMTB;8b67trl0-OmcG;uaQNg57i-GpaK;26,0;96000,0;Alugada;2.0;Melhora_Lar;A;1750,0;6.54;0,0;0.02;N;2
Kdd8Sz2h-i9uN;bFr43xjU-c4Ct;xlUic5a6-b12r;31,0;53000,0;Hipotecada;2.0;Medico;B;7200,0;10.37;0,0;0.14;N;8
YxRYgne9-CjwE;b9Sohwac-N5yL;Yh4rjGSM-o4aL;24,0;19200,0;Hipotecada;0.0;Melhora_Lar;A;7000,0;5.99;1,0;0.36;N;4
KDHo8NHB-5DI1;S1wpnjCm-8XcM;WwggeOdv-lYxX;24,0;60000,0;Hipotecada;2.0;Pessoal;B;2600,0;11.49;0,0;0.04;N;4
5mvOeZEq-6NhM;G1rZEr2h-gPCx;ELfzYbfv-jIz0;25,0;19200,0;Alugada;0.0;Melhora_Lar;B;5000,0;9.62;1,0;0.26;N;2
wO08SlYA-oaT3;xIJmcLRO-gJjt;38IkAFkg-Pg33;28,0;62851,0;Hipotecada;8.0;Pagamento_Debitos;B;12000,0;0.0;0,0;0.19;N;6
N6f1qpl2-nZNT;vFxYwnTF-wUFY;jGqZekxj-UQ0n;21,0;42000,0;Alugada;5.0;Pessoal;D;1000,0;15.58;1,0;0.02;Y;4
iorGIEHJ-d9t4;zcs2b7bq-Bm20;ovFYPtXP-GHzl;32,0;74000,0;Hipotecada;16.0;Educativo;B;13650,0;12.42;1,0;0.18;N;10
NiuaKa9Y-w0Hs;1iPuEryI-dSA1;bCnFP2Ux-4XLZ;28,0;61500,0;Alugada;1.0;Melhora_Lar;B;4000,0;10.95;0,0;0.07;N;8
aYErltpS-pqdy;7ouIOJYQ-7cFX;6P4CmUxr-oKzY;25,0;42000,0;Hipotecada;0.0;Empreendimento;B;3500,0;10.36;0,0;0.08;N;2
t7tw9vd3-4GL1;yQpfawcZ-6RXQ;RFZSUFfC-N2Bi;39,0;67000,0;Alugada;4.0;Educativo;D;9800,0;16.29;0,0;0.15;Y;14
9BOwm34a-hRqc;v5KUvAMI-3jzj;S0FZp8Ne-YuQ1;28,0;100000,0;Hipotecada;0.0;Empreendimento;C;18000,0;13.99;0,0;0.18;Y;6
vSlfQXeZ-MdKP;FdJqX4NN-c4rg;ACiom1nH-NO0s;25,0;60000,0;Alugada;0.0;Pagamento_Debitos;B;7000,0;9.25;0,0;0.12;N;4
jncaQ4xA-2BUT;JPvb5BXL-q5Qm;jQgECUNL-2K5e;29,0;46500,0;Alugada;5.0;Empreendimento;C;2500,0;13.92;0,0;0.05;Y;9
1OO3uPAf-a5JM;9HDI40yX-SUoF;AgwA3qHe-SWts;26,0;63096,0;Hipotecada;1.0;Melhora_Lar;A;4200,0;5.99;0,0;0.07;N;3
lqzkLyFm-94Be;Id4BcxZC-jWI2;MdOhIn7h-h5Lc;23,0;68000,0;Hipotecada;2.0;Empreendimento;B;10000,0;10.37;0,0;0.15;N;2
